x,y,z,|F|^2,Fx,Fy,Fz
-0.2,-1,-3,1.952903961e-05,-0.001322347828,0.003992611133,-0.001356278797
0.2,-1,-3,1.952903961e-05,0.001322347828,0.003992611133,-0.001356278797
-0.6,-0.6,-3,1.669149865e-05,-0.0007500976306,0.0036735814,-0.00162285301
-0.2,-0.6,-3,6.153064277e-06,0.0004186977413,0.0009399998637,-0.002257023867
0.2,-0.6,-3,6.153064277e-06,-0.0004186977413,0.0009399998637,-0.002257023867
0.6,-0.6,-3,1.669149865e-05,0.0007500976306,0.0036735814,-0.00162285301
-1,-0.2,-3,8.032194893e-06,-0.0001985266484,0.002353847269,-0.001565945433
-0.6,-0.2,-3,5.809110333e-06,0.0006426253994,0.0005626683962,-0.002253785084
-0.2,-0.2,-3,6.706085348e-06,0.0001733693334,0.0002361263659,-0.002572989071
0.2,-0.2,-3,6.706085348e-06,-0.0001733693334,0.0002361263659,-0.002572989071
0.6,-0.2,-3,5.809110333e-06,-0.0006426253994,0.0005626683962,-0.002253785084
1,-0.2,-3,8.032194893e-06,0.0001985266484,0.002353847269,-0.001565945433
-1,0.2,-3,8.032194893e-06,-0.0001985266484,-0.002353847269,-0.001565945433
-0.6,0.2,-3,5.809110333e-06,0.0006426253994,-0.0005626683962,-0.002253785084
-0.2,0.2,-3,6.706085348e-06,0.0001733693334,-0.0002361263659,-0.002572989071
0.2,0.2,-3,6.706085348e-06,-0.0001733693334,-0.0002361263659,-0.002572989071
0.6,0.2,-3,5.809110333e-06,-0.0006426253994,-0.0005626683962,-0.002253785084
1,0.2,-3,8.032194893e-06,0.0001985266484,-0.002353847269,-0.001565945433
-0.6,0.6,-3,1.669149865e-05,-0.0007500976306,-0.0036735814,-0.00162285301
-0.2,0.6,-3,6.153064277e-06,0.0004186977413,-0.0009399998637,-0.002257023867
0.2,0.6,-3,6.153064277e-06,-0.0004186977413,-0.0009399998637,-0.002257023867
0.6,0.6,-3,1.669149865e-05,0.0007500976306,-0.0036735814,-0.00162285301
-0.2,1,-3,1.952903961e-05,-0.001322347828,-0.003992611133,-0.001356278797
0.2,1,-3,1.952903961e-05,0.001322347828,-0.003992611133,-0.001356278797
-0.2,-1.8,-2.6,8.625953195e-06,-0.001049387423,0.002366475933,-0.001387274627
0.2,-1.8,-2.6,8.625953195e-06,0.001049387423,0.002366475933,-0.001387274627
-1,-1.4,-2.6,4.656638961e-06,-0.0008142025879,0.001767011167,-0.0009334798563
-0.6,-1.4,-2.6,5.640713265e-06,0.0001652679181,0.00207975518,-0.001134908882
-0.2,-1.4,-2.6,3.833177499e-06,0.0002649568199,3.04403391e-05,-0.001939600157
0.2,-1.4,-2.6,3.833177499e-06,-0.0002649568199,3.04403391e-05,-0.001939600157
0.6,-1.4,-2.6,5.640713266e-06,-0.0001652679181,0.00207975518,-0.001134908882
1,-1.4,-2.6,4.656638961e-06,0.0008142025879,0.001767011167,-0.0009334798563
-1.4,-1,-2.6,3.735875113e-06,-0.0004247204924,0.001819970658,-0.0004931474632
-1,-1,-2.6,8.48126441e-07,0.0002867636339,0.0001891952477,-0.0008544578501
-0.6,-1,-2.6,2.167117802e-06,3.162757545e-05,0.0001257205967,-0.001466394159
-0.2,-1,-2.6,1.29346517e-06,-3.833908404e-05,-0.000615165759,-0.0009558066611
0.2,-1,-2.6,1.29346517e-06,3.833908403e-05,-0.000615165759,-0.0009558066611
0.6,-1,-2.6,2.167117802e-06,-3.162757546e-05,0.0001257205967,-0.001466394159
1,-1,-2.6,8.48126441e-07,-0.0002867636339,0.0001891952477,-0.0008544578501
1.4,-1,-2.6,3.735875113e-06,0.0004247204924,0.001819970658,-0.0004931474632
