 >TARPBXN : slab+disk; XS2,XS3,YS,ZS= 15.0000  0.0000 24.0000 24.0000
      9312 = NAT 
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
   0.50000   0.50000   0.50000 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
      1   0  -6  -2 1 1 1
      2   1  -6  -2 1 1 1
      3   2  -6  -2 1 1 1
      4   3  -6  -2 1 1 1
      5   4  -6  -2 1 1 1
      6   5  -6  -2 1 1 1
      7   0  -6  -1 1 1 1
      8   1  -6  -1 1 1 1
      9   2  -6  -1 1 1 1
     10   3  -6  -1 1 1 1
     11   4  -6  -1 1 1 1
     12   5  -6  -1 1 1 1
     13   0  -6   0 1 1 1
     14   1  -6   0 1 1 1
     15   2  -6   0 1 1 1
     16   3  -6   0 1 1 1
     17   4  -6   0 1 1 1
     18   5  -6   0 1 1 1
     19   0  -6   1 1 1 1
     20   1  -6   1 1 1 1
     21   2  -6   1 1 1 1
     22   3  -6   1 1 1 1
     23   4  -6   1 1 1 1
     24   5  -6   1 1 1 1
     25   0  -5  -4 1 1 1
     26   1  -5  -4 1 1 1
     27   2  -5  -4 1 1 1
     28   3  -5  -4 1 1 1
     29   4  -5  -4 1 1 1
     30   5  -5  -4 1 1 1
     31   0  -5  -3 1 1 1
     32   1  -5  -3 1 1 1
     33   2  -5  -3 1 1 1
     34   3  -5  -3 1 1 1
     35   4  -5  -3 1 1 1
     36   5  -5  -3 1 1 1
     37   0  -5  -2 1 1 1
     38   1  -5  -2 1 1 1
     39   2  -5  -2 1 1 1
     40   3  -5  -2 1 1 1
     41   4  -5  -2 1 1 1
     42   5  -5  -2 1 1 1
     43   0  -5  -1 1 1 1
     44   1  -5  -1 1 1 1
     45   2  -5  -1 1 1 1
     46   3  -5  -1 1 1 1
     47   4  -5  -1 1 1 1
     48   5  -5  -1 1 1 1
     49   0  -5   0 1 1 1
     50   1  -5   0 1 1 1
     51   2  -5   0 1 1 1
     52   3  -5   0 1 1 1
     53   4  -5   0 1 1 1
     54   5  -5   0 1 1 1
     55   0  -5   1 1 1 1
     56   1  -5   1 1 1 1
     57   2  -5   1 1 1 1
     58   3  -5   1 1 1 1
     59   4  -5   1 1 1 1
     60   5  -5   1 1 1 1
     61   0  -5   2 1 1 1
     62   1  -5   2 1 1 1
     63   2  -5   2 1 1 1
     64   3  -5   2 1 1 1
     65   4  -5   2 1 1 1
     66   5  -5   2 1 1 1
     67   0  -5   3 1 1 1
     68   1  -5   3 1 1 1
     69   2  -5   3 1 1 1
     70   3  -5   3 1 1 1
     71   4  -5   3 1 1 1
     72   5  -5   3 1 1 1
     73   0  -4  -5 1 1 1
     74   1  -4  -5 1 1 1
     75   2  -4  -5 1 1 1
     76   3  -4  -5 1 1 1
     77   4  -4  -5 1 1 1
     78   5  -4  -5 1 1 1
     79   0  -4  -4 1 1 1
     80   1  -4  -4 1 1 1
     81   2  -4  -4 1 1 1
     82   3  -4  -4 1 1 1
     83   4  -4  -4 1 1 1
     84   5  -4  -4 1 1 1
     85   0  -4  -3 1 1 1
     86   1  -4  -3 1 1 1
     87   2  -4  -3 1 1 1
     88   3  -4  -3 1 1 1
     89   4  -4  -3 1 1 1
     90   5  -4  -3 1 1 1
     91   0  -4  -2 1 1 1
     92   1  -4  -2 1 1 1
     93   2  -4  -2 1 1 1
     94   3  -4  -2 1 1 1
     95   4  -4  -2 1 1 1
     96   5  -4  -2 1 1 1
     97   0  -4  -1 1 1 1
     98   1  -4  -1 1 1 1
     99   2  -4  -1 1 1 1
    100   3  -4  -1 1 1 1
    101   4  -4  -1 1 1 1
    102   5  -4  -1 1 1 1
    103   0  -4   0 1 1 1
    104   1  -4   0 1 1 1
    105   2  -4   0 1 1 1
    106   3  -4   0 1 1 1
    107   4  -4   0 1 1 1
    108   5  -4   0 1 1 1
    109   0  -4   1 1 1 1
    110   1  -4   1 1 1 1
    111   2  -4   1 1 1 1
    112   3  -4   1 1 1 1
    113   4  -4   1 1 1 1
    114   5  -4   1 1 1 1
    115   0  -4   2 1 1 1
    116   1  -4   2 1 1 1
    117   2  -4   2 1 1 1
    118   3  -4   2 1 1 1
    119   4  -4   2 1 1 1
    120   5  -4   2 1 1 1
    121   0  -4   3 1 1 1
    122   1  -4   3 1 1 1
    123   2  -4   3 1 1 1
    124   3  -4   3 1 1 1
