 >TARELL  ellipsoidal grain; AX,AY,AZ= 49.4900 49.4900 49.4900
     63461 = NAT
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
  -0.00000  -0.00000  -0.00000 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
      1    0   -6  -24 1 1 1
      2   -3   -5  -24 1 1 1
      3   -2   -5  -24 1 1 1
      4   -1   -5  -24 1 1 1
      5    0   -5  -24 1 1 1
      6    1   -5  -24 1 1 1
      7    2   -5  -24 1 1 1
      8    3   -5  -24 1 1 1
      9   -4   -4  -24 1 1 1
     10   -3   -4  -24 1 1 1
     11   -2   -4  -24 1 1 1
     12   -1   -4  -24 1 1 1
     13    0   -4  -24 1 1 1
     14    1   -4  -24 1 1 1
     15    2   -4  -24 1 1 1
     16    3   -4  -24 1 1 1
     17    4   -4  -24 1 1 1
     18   -5   -3  -24 1 1 1
     19   -4   -3  -24 1 1 1
     20   -3   -3  -24 1 1 1
     21   -2   -3  -24 1 1 1
     22   -1   -3  -24 1 1 1
     23    0   -3  -24 1 1 1
     24    1   -3  -24 1 1 1
     25    2   -3  -24 1 1 1
     26    3   -3  -24 1 1 1
     27    4   -3  -24 1 1 1
     28    5   -3  -24 1 1 1
     29   -5   -2  -24 1 1 1
     30   -4   -2  -24 1 1 1
     31   -3   -2  -24 1 1 1
     32   -2   -2  -24 1 1 1
     33   -1   -2  -24 1 1 1
     34    0   -2  -24 1 1 1
     35    1   -2  -24 1 1 1
     36    2   -2  -24 1 1 1
     37    3   -2  -24 1 1 1
     38    4   -2  -24 1 1 1
     39    5   -2  -24 1 1 1
     40   -5   -1  -24 1 1 1
     41   -4   -1  -24 1 1 1
     42   -3   -1  -24 1 1 1
     43   -2   -1  -24 1 1 1
     44   -1   -1  -24 1 1 1
     45    0   -1  -24 1 1 1
     46    1   -1  -24 1 1 1
     47    2   -1  -24 1 1 1
     48    3   -1  -24 1 1 1
     49    4   -1  -24 1 1 1
     50    5   -1  -24 1 1 1
     51   -6    0  -24 1 1 1
     52   -5    0  -24 1 1 1
     53   -4    0  -24 1 1 1
     54   -3    0  -24 1 1 1
     55   -2    0  -24 1 1 1
     56   -1    0  -24 1 1 1
     57    0    0  -24 1 1 1
     58    1    0  -24 1 1 1
     59    2    0  -24 1 1 1
     60    3    0  -24 1 1 1
     61    4    0  -24 1 1 1
     62    5    0  -24 1 1 1
     63    6    0  -24 1 1 1
     64   -5    1  -24 1 1 1
     65   -4    1  -24 1 1 1
     66   -3    1  -24 1 1 1
     67   -2    1  -24 1 1 1
     68   -1    1  -24 1 1 1
     69    0    1  -24 1 1 1
     70    1    1  -24 1 1 1
     71    2    1  -24 1 1 1
     72    3    1  -24 1 1 1
     73    4    1  -24 1 1 1
     74    5    1  -24 1 1 1
     75   -5    2  -24 1 1 1
     76   -4    2  -24 1 1 1
     77   -3    2  -24 1 1 1
     78   -2    2  -24 1 1 1
     79   -1    2  -24 1 1 1
     80    0    2  -24 1 1 1
     81    1    2  -24 1 1 1
     82    2    2  -24 1 1 1
     83    3    2  -24 1 1 1
     84    4    2  -24 1 1 1
     85    5    2  -24 1 1 1
     86   -5    3  -24 1 1 1
     87   -4    3  -24 1 1 1
     88   -3    3  -24 1 1 1
     89   -2    3  -24 1 1 1
     90   -1    3  -24 1 1 1
     91    0    3  -24 1 1 1
     92    1    3  -24 1 1 1
     93    2    3  -24 1 1 1
     94    3    3  -24 1 1 1
     95    4    3  -24 1 1 1
     96    5    3  -24 1 1 1
     97   -4    4  -24 1 1 1
     98   -3    4  -24 1 1 1
     99   -2    4  -24 1 1 1
    100   -1    4  -24 1 1 1
    101    0    4  -24 1 1 1
    102    1    4  -24 1 1 1
    103    2    4  -24 1 1 1
    104    3    4  -24 1 1 1
    105    4    4  -24 1 1 1
    106   -3    5  -24 1 1 1
    107   -2    5  -24 1 1 1
    108   -1    5  -24 1 1 1
    109    0    5  -24 1 1 1
    110    1    5  -24 1 1 1
    111    2    5  -24 1 1 1
    112    3    5  -24 1 1 1
    113    0    6  -24 1 1 1
    114   -1   -9  -23 1 1 1
    115    0   -9  -23 1 1 1
    116    1   -9  -23 1 1 1
    117   -4   -8  -23 1 1 1
    118   -3   -8  -23 1 1 1
    119   -2   -8  -23 1 1 1
    120   -1   -8  -23 1 1 1
    121    0   -8  -23 1 1 1
    122    1   -8  -23 1 1 1
    123    2   -8  -23 1 1 1
    124    3   -8  -23 1 1 1
    125    4   -8  -23 1 1 1
    126   -5   -7  -23 1 1 1
    127   -4   -7  -23 1 1 1
    128   -3   -7  -23 1 1 1
    129   -2   -7  -23 1 1 1
    130   -1   -7  -23 1 1 1
    131    0   -7  -23 1 1 1
    132    1   -7  -23 1 1 1
    133    2   -7  -23 1 1 1
    134    3   -7  -23 1 1 1
    135    4   -7  -23 1 1 1
    136    5   -7  -23 1 1 1
    137   -6   -6  -23 1 1 1
    138   -5   -6  -23 1 1 1
    139   -4   -6  -23 1 1 1
    140   -3   -6  -23 1 1 1
    141   -2   -6  -23 1 1 1
    142   -1   -6  -23 1 1 1
    143    0   -6  -23 1 1 1
    144    1   -6  -23 1 1 1
    145    2   -6  -23 1 1 1
    146    3   -6  -23 1 1 1
    147    4   -6  -23 1 1 1
    148    5   -6  -23 1 1 1
    149    6   -6  -23 1 1 1
    150   -7   -5  -23 1 1 1
    151   -6   -5  -23 1 1 1
    152   -5   -5  -23 1 1 1
    153   -4   -5  -23 1 1 1
    154   -3   -5  -23 1 1 1
    155   -2   -5  -23 1 1 1
    156   -1   -5  -23 1 1 1
    157    0   -5  -23 1 1 1
    158    1   -5  -23 1 1 1
    159    2   -5  -23 1 1 1
    160    3   -5  -23 1 1 1
    161    4   -5  -23 1 1 1
    162    5   -5  -23 1 1 1
    163    6   -5  -23 1 1 1
    164    7   -5  -23 1 1 1
    165   -8   -4  -23 1 1 1
    166   -7   -4  -23 1 1 1
    167   -6   -4  -23 1 1 1
    168   -5   -4  -23 1 1 1
    169   -4   -4  -23 1 1 1
    170   -3   -4  -23 1 1 1
    171   -2   -4  -23 1 1 1
    172   -1   -4  -23 1 1 1
    173    0   -4  -23 1 1 1
    174    1   -4  -23 1 1 1
    175    2   -4  -23 1 1 1
    176    3   -4  -23 1 1 1
    177    4   -4  -23 1 1 1
    178    5   -4  -23 1 1 1
    179    6   -4  -23 1 1 1
    180    7   -4  -23 1 1 1
    181    8   -4  -23 1 1 1
    182   -8   -3  -23 1 1 1
    183   -7   -3  -23 1 1 1
    184   -6   -3  -23 1 1 1
    185   -5   -3  -23 1 1 1
    186   -4   -3  -23 1 1 1
    187   -3   -3  -23 1 1 1
    188   -2   -3  -23 1 1 1
    189   -1   -3  -23 1 1 1
    190    0   -3  -23 1 1 1
    191    1   -3  -23 1 1 1
    192    2   -3  -23 1 1 1
    193    3   -3  -23 1 1 1
    194    4   -3  -23 1 1 1
    195    5   -3  -23 1 1 1
    196    6   -3  -23 1 1 1
    197    7   -3  -23 1 1 1
    198    8   -3  -23 1 1 1
    199   -8   -2  -23 1 1 1
    200   -7   -2  -23 1 1 1
    201   -6   -2  -23 1 1 1
    202   -5   -2  -23 1 1 1
    203   -4   -2  -23 1 1 1
    204   -3   -2  -23 1 1 1
    205   -2   -2  -23 1 1 1
    206   -1   -2  -23 1 1 1
    207    0   -2  -23 1 1 1
    208    1   -2  -23 1 1 1
    209    2   -2  -23 1 1 1
    210    3   -2  -23 1 1 1
    211    4   -2  -23 1 1 1
    212    5   -2  -23 1 1 1
    213    6   -2  -23 1 1 1
    214    7   -2  -23 1 1 1
    215    8   -2  -23 1 1 1
    216   -9   -1  -23 1 1 1
    217   -8   -1  -23 1 1 1
    218   -7   -1  -23 1 1 1
    219   -6   -1  -23 1 1 1
    220   -5   -1  -23 1 1 1
    221   -4   -1  -23 1 1 1
    222   -3   -1  -23 1 1 1
    223   -2   -1  -23 1 1 1
    224   -1   -1  -23 1 1 1
    225    0   -1  -23 1 1 1
    226    1   -1  -23 1 1 1
    227    2   -1  -23 1 1 1
    228    3   -1  -23 1 1 1
    229    4   -1  -23 1 1 1
    230    5   -1  -23 1 1 1
    231    6   -1  -23 1 1 1
    232    7   -1  -23 1 1 1
    233    8   -1  -23 1 1 1
    234    9   -1  -23 1 1 1
    235   -9    0  -23 1 1 1
    236   -8    0  -23 1 1 1
    237   -7    0  -23 1 1 1
    238   -6    0  -23 1 1 1
    239   -5    0  -23 1 1 1
    240   -4    0  -23 1 1 1
    241   -3    0  -23 1 1 1
    242   -2    0  -23 1 1 1
    243   -1    0  -23 1 1 1
    244    0    0  -23 1 1 1
    245    1    0  -23 1 1 1
    246    2    0  -23 1 1 1
    247    3    0  -23 1 1 1
    248    4    0  -23 1 1 1
    249    5    0  -23 1 1 1
    250    6    0  -23 1 1 1
    251    7    0  -23 1 1 1
    252    8    0  -23 1 1 1
    253    9    0  -23 1 1 1
    254   -9    1  -23 1 1 1
    255   -8    1  -23 1 1 1
    256   -7    1  -23 1 1 1
    257   -6    1  -23 1 1 1
    258   -5    1  -23 1 1 1
    259   -4    1  -23 1 1 1
    260   -3    1  -23 1 1 1
    261   -2    1  -23 1 1 1
    262   -1    1  -23 1 1 1
    263    0    1  -23 1 1 1
    264    1    1  -23 1 1 1
    265    2    1  -23 1 1 1
    266    3    1  -23 1 1 1
    267    4    1  -23 1 1 1
    268    5    1  -23 1 1 1
    269    6    1  -23 1 1 1
    270    7    1  -23 1 1 1
    271    8    1  -23 1 1 1
    272    9    1  -23 1 1 1
    273   -8    2  -23 1 1 1
    274   -7    2  -23 1 1 1
    275   -6    2  -23 1 1 1
    276   -5    2  -23 1 1 1
    277   -4    2  -23 1 1 1
    278   -3    2  -23 1 1 1
    279   -2    2  -23 1 1 1
    280   -1    2  -23 1 1 1
    281    0    2  -23 1 1 1
    282    1    2  -23 1 1 1
    283    2    2  -23 1 1 1
    284    3    2  -23 1 1 1
    285    4    2  -23 1 1 1
    286    5    2  -23 1 1 1
    287    6    2  -23 1 1 1
    288    7    2  -23 1 1 1
    289    8    2  -23 1 1 1
    290   -8    3  -23 1 1 1
    291   -7    3  -23 1 1 1
    292   -6    3  -23 1 1 1
    293   -5    3  -23 1 1 1
    294   -4    3  -23 1 1 1
    295   -3    3  -23 1 1 1
    296   -2    3  -23 1 1 1
    297   -1    3  -23 1 1 1
    298    0    3  -23 1 1 1
    299    1    3  -23 1 1 1
    300    2    3  -23 1 1 1
    301    3    3  -23 1 1 1
    302    4    3  -23 1 1 1
    303    5    3  -23 1 1 1
    304    6    3  -23 1 1 1
    305    7    3  -23 1 1 1
    306    8    3  -23 1 1 1
    307   -8    4  -23 1 1 1
    308   -7    4  -23 1 1 1
    309   -6    4  -23 1 1 1
    310   -5    4  -23 1 1 1
    311   -4    4  -23 1 1 1
    312   -3    4  -23 1 1 1
    313   -2    4  -23 1 1 1
    314   -1    4  -23 1 1 1
    315    0    4  -23 1 1 1
    316    1    4  -23 1 1 1
    317    2    4  -23 1 1 1
    318    3    4  -23 1 1 1
    319    4    4  -23 1 1 1
    320    5    4  -23 1 1 1
    321    6    4  -23 1 1 1
    322    7    4  -23 1 1 1
    323    8    4  -23 1 1 1
    324   -7    5  -23 1 1 1
